Handle,Variant Barcode,Title,Body (HTML),Vendor,Product Category,Type,Tags,Option1 Name,Option1 Value,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Image Src,Gift Card,Variant Weight Unit,Cost per item,Included / United States,Included / International,Status
adam-again-in-a-new-world-of-time-blue-sky-colored-vinyl-blue-limited-edition-remastered-20250919,732131698176,"Adam Again - In a New World of Time - Blue Sky LP (Colored Vinyl, Blue, Limited Edition, Remastered)","<p>This is a preorder for 09/19/2025! We will ship as soon as your full order arrives, which will usually be that day or the following day. Occasionally, it may be up to a week later. See the full list of the week for more details, and email info@latchkeyrecords.com with any questions!</p><p>Retroactive Records proudly presents the first-ever vinyl reissue of Adam Again's genre-defying debut, In a New World of Time. Originally released on Blue Collar Records in 1986, this underground classic finally returns to wax-remastered by Rob Colwell (Swirling Eddies, Sixpence), and pressed on heavyweight Blue Sky Vinyl, strictly limited to 250 copies worldwide.This reissue isn't just a nostalgia piece-it's a long-overdue celebration of a visionary album that continues to resonate nearly four decades after it's release. With stunning new sound and a 12x12 full-color insert featuring lyrics and rare photos, plus an expansive new write-up by John Joseph Thompson (True Tunes), this edition honors the depth and legacy of a truly singular band.Led by the late Gene Eugene-producer, engineer, and poetic force behind Adam Again, The Lost Dogs, and The Swirling Eddies-In a New World of Time defies the expectations of '80s Christian music. With unmistakable echoes of R.E.M., Talking Heads, and The Cure, the album fuses New Wave, funk, and art rock into something raw, soulful, and deeply introspective.Eugene's lyrics confront real-world struggles and spiritual searching with emotional honesty. On ""You Can Fall in Love,"" he delivers one of the band's most vulnerable faith statements:""He was God and nothing less / He came to fill your emptiness.""Greg Lawless's freak-funk guitar work, Paul Valadez's (RIP) grounding bass lines, and Riki Michele's dynamic vocals all elevate this album to a level few dared to reach in that era. The record's original Howard Finster cover art (famed for his work with R.E.M. and Talking Heads) only adds to it's underground legacy.Ranked #278 on the ""300 Greatest CCM Albums of the '80s"", In a New World of Time still sounds like the future-melodic, messy, searching, and soaked in soul.This is more than a reissue. This is a restoration of a vital chapter in alternative rock history.</p>",Alliance Entertainment,Media > Music & Sound Recordings > Records & LPs,Records & LPs,"preorder club,preorder20250919",Title,Default Title,180,shopify,continue,manual,35.2446,42.2446,TRUE,TRUE,https://mediacdn.aent-m.com/prod-img/500/40/4438140-3408777.jpg,FALSE,lb,29.2446,TRUE,TRUE,draft
claudio-sabrina-fall-in-love-with-her-poster-20250919,199316121582,"Claudio, Sabrina - Fall in Love with Her LP (Poster)","<p>This is a preorder for 09/19/2025! We will ship as soon as your full order arrives, which will usually be that day or the following day. Occasionally, it may be up to a week later. See the full list of the week for more details, and email info@latchkeyrecords.com with any questions!</p><p>Sabrina Claudio's fifth studio album, Fall In Love With Her, marks a significant evolution in her musical journey. Known for her ethereal blend of R&B and pop, Sabrina Claudio delves deeper into personal narratives, offering listeners an intimate exploration of love, identity, and self-discovery.This album follows her 2022 release, Based on a Feeling, where she emphasized authenticity and emotional resonance in her music. With Fall In Love With Her, Sabrina Claudio continues this trajectory, crafting songs that are both vulnerable and empowering. The lead single, ""Need U to Need Me,"" exemplifies this, weaving themes of longing and self-worth into a sultry, atmospheric soundscape. Her introspective songwriting, combined with minimalist production, allows her vocals to shine, creating an immersive listening experience.With a GRAMMY win to her name for her songwriting work on Beyonce's Renaissance album & over 3B worldwide streams to date, Sabrina Claudio has firmly established herself as a standout in the R&B and Pop spaces. 1xLP, pressed on Black vinyl and includes a poster. Grab the vinyl today - and fall in love with her all over again.</p>",Alliance Entertainment,Media > Music & Sound Recordings > Records & LPs,Records & LPs,"preorder club,preorder20250919",Title,Default Title,180,shopify,continue,manual,25.2346,32.2346,TRUE,TRUE,https://mediacdn.aent-m.com/prod-img/500/68/4434268-3404704.jpg,FALSE,lb,19.2346,TRUE,TRUE,draft
claudio-sabrina-fall-in-love-with-her-iex-tan-white-colored-vinyl-tan-white-poster-indie-exclusive-limited-edition-20250919,199316121643,"Claudio, Sabrina - Fall in Love with Her (IEX) Tan/White LP (Colored Vinyl, Tan, White, Poster, Indie Exclusive, Limited Edition)","<p>This is a preorder for 09/19/2025! We will ship as soon as your full order arrives, which will usually be that day or the following day. Occasionally, it may be up to a week later. See the full list of the week for more details, and email info@latchkeyrecords.com with any questions!</p><p>Sabrina Claudio's fifth studio album, Fall In Love With Her, marks a significant evolution in her musical journey. Known for her ethereal blend of R&B and pop, Sabrina Claudio delves deeper into personal narratives, offering listeners an intimate exploration of love, identity, and self-discovery.This album follows her 2022 release, Based on a Feeling, where she emphasized authenticity and emotional resonance in her music. With Fall In Love With Her, Sabrina Claudio continues this trajectory, crafting songs that are both vulnerable and empowering. The lead single, ""Need U to Need Me,"" exemplifies this, weaving themes of longing and self-worth into a sultry, atmospheric soundscape. Her introspective songwriting, combined with minimalist production, allows her vocals to shine, creating an immersive listening experience.With a GRAMMY win to her name for her songwriting work on Beyonce's Renaissance album & over 3B worldwide streams to date, Sabrina Claudio has firmly established herself as a standout in the R&B and Pop spaces. 1xLP, pressed on Tan & White Marble vinyl and includes a poster. Grab the vinyl today - and fall in love with her all over again. Indie Retail Exclusive and limited to 500 copies.</p>",Alliance Entertainment,Media > Music & Sound Recordings > Records & LPs,Records & LPs,"preorder club,preorder20250919",Title,Default Title,180,shopify,continue,manual,29.084600000000002,36.0846,TRUE,TRUE,https://mediacdn.aent-m.com/prod-img/500/70/4434270-3404708.jpg,FALSE,lb,23.084600000000002,TRUE,TRUE,draft
native-sun-concrete-language-20250919,5021732537164,Native Sun - Concrete Language LP,"<p>This is a preorder for 09/19/2025! We will ship as soon as your full order arrives, which will usually be that day or the following day. Occasionally, it may be up to a week later. See the full list of the week for more details, and email info@latchkeyrecords.com with any questions!</p>",Alliance Entertainment,Media > Music & Sound Recordings > Records & LPs,Records & LPs,"preorder club,preorder20250919",Title,Default Title,180,shopify,continue,manual,26.0046,33.004599999999996,TRUE,TRUE,,FALSE,lb,20.0046,TRUE,TRUE,draft
godin-nicolas-fire-of-love-original-soundtrack-united-kingdom-import-20250919,3516628420511,"Godin, Nicolas - Fire Of Love (Original Soundtrack) LP (United Kingdom - Import)","<p>This is a preorder for 09/19/2025! We will ship as soon as your full order arrives, which will usually be that day or the following day. Occasionally, it may be up to a week later. See the full list of the week for more details, and email info@latchkeyrecords.com with any questions!</p>",Alliance Entertainment,Media > Music & Sound Recordings > Records & LPs,Records & LPs,"preorder club,preorder20250919",Title,Default Title,180,shopify,continue,manual,45.2623,52.2623,TRUE,TRUE,,FALSE,lb,39.2623,TRUE,TRUE,draft
wicca-phase-springs-eternal-mossy-oak-shadow-first-run-club-exclusive-iex-indie-exclusive-20250919,199438000307,Wicca Phase Springs Eternal - Mossy Oak Shadow - First Run Club Exclusive (IEX) LP (Indie Exclusive),"<p>This is a preorder for 09/19/2025! We will ship as soon as your full order arrives, which will usually be that day or the following day. Occasionally, it may be up to a week later. See the full list of the week for more details, and email info@latchkeyrecords.com with any questions!</p><p>It's impossible to talk about Wicca Phase Springs Eternal without talking about transformation. For over a decade the singer, songwriter and producer Adam Andrzejewski has used the moniker as a wide creative umbrella, under which he's made a vast body of work that's as consistently compelling as it is constantly changing. This deft ability to blend sounds and styles has become his calling card, but no matter the genre signifiers-from rap beats, to new wave synths, to goth atmospherics-the beating heart of WPSE is Andrzejewski's singular voice and esoteric-yet-emotional lyricism. Those key elements have centered the project through musical explorations, and now on his latest full-length, Mossy Oak Shadow, Andrzejewski really puts them to the test. Shedding thumping 808s and intricate production in favor of a no-frills band and sparse live recording, the album is a stirring collection of hazy folk rock songs that prove Wicca Phase Springs Eternal can truly be anything.  ""I always kind of thought that as long as I have the Wicca Phase Springs Eternal name that I can do whatever I want,"" Andrzejewski explains. ""The name provides a framework for the lyrics and aesthetics of the project-my songwriting with a mystical overlay to it-and as long as I can make something work within that, then the genre doesn't totally matter."" That daring creative mentality is what steered Andrzejewski when he first started the WPSE project, through his work as a co-founder of the influential GothBoiClique collective, or as member of Thraxxhouse and Misery Club, and even with his punk side project, Pay For Pain. Still, few could have guessed that the new proper Wicca Phase Springs Eternal release would be a set of country-leaning folk songs performed without a wink in sight. As with all things Wicca Phase, Mossy Oak Shadow finds Andrzejewski fully committed. Mossy Oak Shadow might seem like a drastic pivot for the Wicca Phase Springs Eternal fans who got on board through his beat-driven modern classic albums, like 2016's Secret Boy or 2018's Suffer On-but it shouldn't come as a total surprise. WPSE releases have always dabbled in stripped-down acoustic songs, and even further back there's Andrzejewski's earlier work as a member of emo/indie stalwarts Tigers Jaw. When he left that band to focus on Wicca Phase in 2013, he was met with skepticism from listeners who were hesitant to embrace his new persona and experimental trap sound. Ironically now Andrzejewski has so thoroughly established Wicca Phase Springs Eternal that he's once again challenging his fans with a stark sonic shift-but this time by returning to the guitar-oriented songwriting he'd set aside. ""Dylan, Will Oldman, Richard Thompson-what I like most about those songwriters is that I'm able to trust them,"" Andrzejewski explains. ""If they do something that's totally strange I trust that they know what they're doing because it's coming from the same person that wrote all these other songs that I love. So even if it might take some time for me to get where they are, I want to try.""</p>",Alliance Entertainment,Media > Music & Sound Recordings > Records & LPs,Records & LPs,"preorder club,preorder20250919",Title,Default Title,180,shopify,continue,manual,25.2346,32.2346,TRUE,TRUE,https://mediacdn.aent-m.com/prod-img/500/03/4444303-3419439.jpg,FALSE,lb,19.2346,TRUE,TRUE,draft
vynhall-leon-in-daytona-yellow-20250919,5061099140171,"Vynhall, Leon - In Daytona Yellow LP","<p>This is a preorder for 09/19/2025! We will ship as soon as your full order arrives, which will usually be that day or the following day. Occasionally, it may be up to a week later. See the full list of the week for more details, and email info@latchkeyrecords.com with any questions!</p>",Alliance Entertainment,Media > Music & Sound Recordings > Records & LPs,Records & LPs,"preorder club,preorder20250919",Title,Default Title,180,shopify,continue,manual,39.0946,46.0946,TRUE,TRUE,https://mediacdn.aent-m.com/prod-img/500/62/4451562-3436609.jpg,FALSE,lb,33.0946,TRUE,TRUE,draft
grupo-amigos-paloma-mensajera-20250919,8435008847418,Grupo Amigos - Paloma Mensajera LP,"<p>This is a preorder for 09/19/2025! We will ship as soon as your full order arrives, which will usually be that day or the following day. Occasionally, it may be up to a week later. See the full list of the week for more details, and email info@latchkeyrecords.com with any questions!</p>",Alliance Entertainment,Media > Music & Sound Recordings > Records & LPs,Records & LPs,"preorder club,preorder20250919",Title,Default Title,180,shopify,continue,manual,31.394599999999997,38.3946,TRUE,TRUE,https://mediacdn.aent-m.com/prod-img/500/53/4443853-3418870.jpg,FALSE,lb,25.394599999999997,TRUE,TRUE,draft
newcleus-jam-on-revenge-bonus-track-20250919,708527250204,Newcleus - Jam On Revenge LP (Bonus Track),"<p>This is a preorder for 09/19/2025! We will ship as soon as your full order arrives, which will usually be that day or the following day. Occasionally, it may be up to a week later. See the full list of the week for more details, and email info@latchkeyrecords.com with any questions!</p>",Alliance Entertainment,Media > Music & Sound Recordings > Records & LPs,Records & LPs,"preorder club,preorder20250919",Title,Default Title,180,shopify,continue,manual,34.474599999999995,41.474599999999995,TRUE,TRUE,https://mediacdn.aent-m.com/prod-img/500/29/4435329-3406295.jpg,FALSE,lb,28.4746,TRUE,TRUE,draft
alien-dub-orchestra-plays-the-breadminster-songbook-20250919,880918275192,Alien Dub Orchestra - Plays the Breadminster Songbook LP,"<p>This is a preorder for 09/19/2025! We will ship as soon as your full order arrives, which will usually be that day or the following day. Occasionally, it may be up to a week later. See the full list of the week for more details, and email info@latchkeyrecords.com with any questions!</p>",Alliance Entertainment,Media > Music & Sound Recordings > Records & LPs,Records & LPs,"preorder club,preorder20250919",Title,Default Title,180,shopify,continue,manual,36.7846,43.7846,TRUE,TRUE,https://mediacdn.aent-m.com/prod-img/500/17/4443817-3418884.jpg,FALSE,lb,30.784599999999998,TRUE,TRUE,draft
